CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
53494,NT36NW 612,Elginhaugh,Unidentified Flint(S) (Flint)(Mesolithic),332100,667300,MIDLOTHIAN,MIDLOTHIAN,DALKEITH,NT 321 673,http://canmore.org.uk/site/53494
55441,NT52NW 30,Lindean,"Findspot, Unidentified Flint(S) (Flint)(Mesolithic)",350000,629000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,GALASHIELS,NT 50 29,http://canmore.org.uk/site/55441
55442,NT52NW 31,Whitlaw,"Findspot, Unidentified Flint(S) (Flint)(Mesolithic)",351000,629000,"SCOTTISH BORDERS, THE",SELKIRKSHIRE,GALASHIELS,NT 51 29,http://canmore.org.uk/site/55442
56959,NT62NE 2,Peniel Heugh,"Fort (Iron Age), Fort (Early Medieval), Lithic Implement (Mesolithic)",365350,626300,"SCOTTISH BORDERS, THE",ROXBURGHSHIRE,CRAILING,NT 65350 26300,http://canmore.org.uk/site/56959
57368,NT64SW 20,East Morriston,"Findspot, Microlith(S) (Mesolithic), Unidentified Flint(S) (Flint)(Prehistoric)",360000,642000,"SCOTTISH BORDERS, THE",BERWICKSHIRE,LEGERWOOD,NT 60 42,http://canmore.org.uk/site/57368
57369,NT64SW 21,West Morriston,"Findspot, Microlith(S) (Mesolithic), Unidentified Flint(S) (Flint)(Prehistoric)",360000,640500,"SCOTTISH BORDERS, THE",BERWICKSHIRE,LEGERWOOD,NT 600 405,http://canmore.org.uk/site/57369
60622,NX05SW 20,Rhinns Of Galloway,"Rubbing Stone (Post Medieval), Flake(S) (Flint), Hammerstone(S)",,,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,PORTPATRICK,NX  ,http://canmore.org.uk/site/60622
60629,NX05SW 27,Rhinns Of Galloway,Flake(S) (Flint),,,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,PORTPATRICK,NX  ,http://canmore.org.uk/site/60629
60750,NX06SE 10,Stranraer,Midden (Period Unassigned),206270,560400,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,INCH,NX 0627 6040,http://canmore.org.uk/site/60750
60774,NX06SE 32,Low Balyett,Unidentified Flint (Flint),208500,561500,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,INCH,NX 085 615,http://canmore.org.uk/site/60774
60812,NX06SE 67,Auchrocher Moss,Unidentified Flint(S) (Flint),208900,560600,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,INCH,NX 089 606,http://canmore.org.uk/site/60812
61067,NX13SW 31,Portankill,Flint Scatter (Prehistoric),213870,532490,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKMAIDEN,NX 1387 3249,http://canmore.org.uk/site/61067
61068,NX13SW 32,Portankill,"Bracelet (Glass), Spindle Whorl",213950,532590,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKMAIDEN,NX 1395 3259,http://canmore.org.uk/site/61068
61114,NX14NW 3,Kirkmabreck,Flint Scatter (Prehistoric),210500,547600,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,STONEYKIRK,NX 105 476,http://canmore.org.uk/site/61114
61122,NX14SW 10,Balgowan,Flint Scatter(S) (Prehistoric),211930,542460,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKMAIDEN,NX 1193 4246,http://canmore.org.uk/site/61122
61141,NX14SW 28,Terally,Flint Scatter (Prehistoric),212200,540900,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKMAIDEN,NX 122 409,http://canmore.org.uk/site/61141
61149,NX14SW 8,Terally,"Long Cist Cemetery (Early Medieval), Unidentified Flint(S) (Flint)",212270,541230,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,KIRKMAIDEN,NX 1227 4123,http://canmore.org.uk/site/61149
62047,NX19NE 22,Girvan Mains,Unidentified Flint(S) (Flint),219200,599900,SOUTH AYRSHIRE,AYRSHIRE,GIRVAN,NX 192 999,http://canmore.org.uk/site/62047
62049,NX19NE 24,Girvan Mains,Temporary Camp (Roman),219000,599106,SOUTH AYRSHIRE,AYRSHIRE,GIRVAN,NX 19000 99106,http://canmore.org.uk/site/62049
62253,NX25SW 23,Kilfillan,Unidentified Flint(S) (Flint),220440,554130,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,OLD LUCE,NX 2044 5413,http://canmore.org.uk/site/62253
62254,NX25SW 24,Gillespie,Unidentified Flint(S) (Flint),224950,551620,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,OLD LUCE,NX 2495 5162,http://canmore.org.uk/site/62254
62266,NX25SW 35,Stair Haven,Midden (Period Unassigned)(Possible),220860,554050,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,OLD LUCE,NX 2086 5405,http://canmore.org.uk/site/62266
62267,NX25SW 36,Mull Of Sinniness,Unidentified Flint(S) (Flint),222700,551800,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,OLD LUCE,NX 227 518,http://canmore.org.uk/site/62267
62725,NX34NW 31,Low Clone North,Flint Scatter (Prehistoric),233320,545330,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,MOCHRUM,NX 3332 4533,http://canmore.org.uk/site/62725
62727,NX34NW 33,Low Clone South,"Occupation Site (Period Unassigned), Unidentified Flint(S) (Flint)",233430,545000,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,MOCHRUM,NX 3343 4500,http://canmore.org.uk/site/62727
62781,NX34SE 37,Blairbuy,"Barbed And Tanged Arrowhead, Hammerstone, Perforated Object (Stone)",236300,541800,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,GLASSERTON,NX 363 418,http://canmore.org.uk/site/62781
62831,NX34SW 3,North Barsalloch,Flint Scatter (Prehistoric),234430,541940,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,MOCHRUM,NX 3443 4194,http://canmore.org.uk/site/62831
62832,NX34SW 4,Airlour,Flint Scatter (Prehistoric),234370,542800,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,MOCHRUM,NX 3437 4280,http://canmore.org.uk/site/62832
63076,NX43NE 21,Sheddock,Spindle Whorl,247700,539100,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,WHITHORN,NX 477 391,http://canmore.org.uk/site/63076
63086,NX43NE 30,Portyerrock,Unidentified Flint(S) (Flint),247300,539000,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,WHITHORN,NX 473 390,http://canmore.org.uk/site/63086
63163,NX44NE 31,Kilfillan,"Microlith(S), Unidentified Flint(S) (Flint)",246900,546600,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,SORBIE,NX 469 466,http://canmore.org.uk/site/63163
63246,NX44SE 13,Palmallet Loch,Unidentified Flint(S) (Flint),248000,542500,DUMFRIES AND GALLOWAY,WIGTOWNSHIRE,SORBIE,NX 480 425,http://canmore.org.uk/site/63246
